index,filename,source,lens,x,y,einsteinR,ellipseratio,orientation,sigma,sigma2,theta
"sies01s",sies01s.png,"s","SIE",0.1,0,60,0.4,0,30,30,0
"sies02s",sies02s.png,"s","SIE",0.1,0,60,0.4,10,30,30,0
"sies03s",sies03s.png,"s","SIE",0.1,0,60,0.4,20,30,30,0
"sies04s",sies04s.png,"s","SIE",0.1,0,60,0.4,30,30,30,0
"sies05s",sies05s.png,"s","SIE",0.1,0,60,0.4,40,30,30,0
"sies06s",sies06s.png,"s","SIE",0.1,0,60,0.4,50,30,30,0
"sies07s",sies07s.png,"s","SIE",0.1,0,60,0.4,60,30,30,0
"sies08s",sies08s.png,"s","SIE",0.1,0,60,0.4,70,30,30,0
"sies09s",sies09s.png,"s","SIE",0.1,0,60,0.4,80,30,30,0
"sies10s",sies10s.png,"s","SIE",0.1,0,60,0.4,90,30,30,0
"sies11s",sies11s.png,"s","SIE",0.1,0,60,0.4,100,30,30,0
"sies12s",sies12s.png,"s","SIE",0.1,0,60,0.4,110,30,30,0
"sies13s",sies13s.png,"s","SIE",0.1,0,60,0.4,120,30,30,0
"sies14s",sies14s.png,"s","SIE",0.1,0,60,0.4,130,30,30,0
"sies15s",sies15s.png,"s","SIE",0.1,0,60,0.4,140,30,30,0
"sies16s",sies16s.png,"s","SIE",0.1,0,60,0.4,150,30,30,0
"sies17s",sies17s.png,"s","SIE",0.1,0,60,0.4,160,30,30,0
"sies18s",sies18s.png,"s","SIE",0.1,0,60,0.4,170,30,30,0
"sies19s",sies19s.png,"s","SIE",0.1,0,60,0.4,180,30,30,0
"sies20s",sies20s.png,"s","SIE",0.1,0,60,0.4,190,30,30,0
"sies21s",sies21s.png,"s","SIE",0.1,0,60,0.4,200,30,30,0
"sies22s",sies22s.png,"s","SIE",0.1,0,60,0.4,210,30,30,0
"sies23s",sies23s.png,"s","SIE",0.1,0,60,0.4,220,30,30,0
"sies24s",sies24s.png,"s","SIE",0.1,0,60,0.4,230,30,30,0
"sies25s",sies25s.png,"s","SIE",0.1,0,60,0.4,240,30,30,0
"sies26s",sies26s.png,"s","SIE",0.1,0,60,0.4,250,30,30,0
"sies27s",sies27s.png,"s","SIE",0.1,0,60,0.4,260,30,30,0
"sies28s",sies28s.png,"s","SIE",0.1,0,60,0.4,270,30,30,0
